第,63(1),回,2022/3/26,塩,3,こしょー,4
第,63(2),回,,ケラー,8,グリーンウェル,2
第,64(1),回,2022/4/2,横浜,5,阪神,4
第,64(2),回,,ジョージア,8,BIG,11
第,65(1),回,2022/4/9,ばくだん,0,ふごう,4
第,65(2),回,,スチール,5,アルミ,3
第,66(1),回,2022/4/16,桜餅,5,みたらし,6
第,66(2),回,,ジョーシン,1,ノジマ,0
第,67(1),回,2022/4/23,Win,9,Lose,10
第,67(2),回,,スアレス,9,ガンケル,5
第,68(1),回,2022/4/30,白井,7,松川,12
第,68(2),回,,なべじい,4,たむじい,2
第,69(1),回,2022/5/7,ハム,8,シャウエッセン,4
第,69(2),回,,アドゥワ,2,ケムナ,10
第,70(1),回,2022/5/14,サツキ,3,メイ,2
第,70(2),回,,今岡,0,金子,1
第,71(1),回,2022/5/21,赤くつ下,2,青キジ,3
第,71(2),回,,主浩,9,ろうき,4
第,72(1),回,2022/5/28,全パ,2,全セ,6
第,72(2),回,,吉川,6,宮西,1
第,73(1),回,2022/6/4,ティーダ,17,ワッカ,3
第,73(2),回,,中村紀,2,中村剛,5
第,74(1),回,2022/6/11,チャハーン,11,ラメーン,2
第,74(2),回,,ブルーウェーブ,11,ホエールズ,6
第,75(1),回,2022/6/18,今永,6,山本,5
第,75(2),回,,コリアンダー,20,クミン,4
第,76(1),回,2022/6/25,酒,0,ハムヘリ,8
第,76(2),回,,村上,1,大山,2
第,77(1),回,2022/7/2,povo,5,ahamo,4
第,77(2),回,,こし,6,つぶ,4
第,78(1),回,2022/7/9,またWin,9,またLose,3
第,78(2),回,,ﾏｳﾝﾃﾝﾃﾞｭｰ,8,セブンアップ,9
第,79,回,2022/7/16,中日,0,東スポ,4
第,80(1),回,2022/7/23,月,9,トロフィー,5
第,80(2),回,,きつね,5,たぬき,6
第,81(1),回,2022/7/30,老人,16,新人,3
第,81(2),回,,南海,10,阪急,3
第,82(1),回,2022/8/6,東館,14,西館,9
第,82(2),回,,マカダミア,10,カシュー,4
第,83(1),回,2022/8/13,ハーゲンダッツ,4,31,3
第,83(2),回,,コメリ,3,カインズ,9
第,84,回,2022/8/20,ゆかいな仲間たち,11,no name,9
第,85(1),回,2022/8/27,ラムネ,8,バナナチョコ,5
第,85(2),回,,サナキ,13,ゆーや,11
第,86(1),回,2022/9/3,おにぎり,13,おむすび,12
第,86(2),回,,たけのこ,12,きのこ,16
第,87(1),回,2022/9/10,ラモス,2,サントス,3
第,87(2),回,,ウニ,2,とうふ,2
第,88(1),回,2022/9/17,いるか,4,えみし,1
第,88(2),回,,よんたま,8,ひっと,4
第,89(1),回,2022/9/24,2nd,11,3rd,4
第,89(2),回,,コーヒー,3,紅茶,1