第,116,回,2023/4/1,スロースターター,12,乱調,7
第,117,回,2023/4/7,ツナマヨ,4,梅,4
第,118,回,2023/4/15,権力,4,名声,5
第,119,回,2023/4/22,はやい,6,おそい,4
第,120,回,2023/4/29,村人様（ヤ）,12,村神様（神）,11
第,121,回,2023/5/6,Quest2,9,Pico4,11
第,122(1),回,2023/5/13,Good,5,God,22
第,122(2),回,2023/5/13,ガソスタ,12,ヒーロー,11
第,123(1),回,2023/5/20,スニッカーズ,4,ブラックサンダー,5
第,123(2),回,2023/5/20,あ,4,い,8
第,124(1),回,2023/5/27,ブラウン,10,ヒルマン,5
第,124(2),回,2023/5/27,いぬ,7,たぬ,13
第,125(1),回,2023/6/3,生ぶし,15,枯ぶし,6
第,125(2),回,2023/6/3,どうでもいい,8,なんでもいい,9
第,126(1),回,2023/6/10,やるき,7,げんき,8
第,126(2),回,2023/6/10,ポン酢,12,ポン酒,4
第,127(1),回,2023/6/17,シーボル,15,タクロー,6
第,127(2),回,2023/6/17,前田健,9,前田智,10
第,128(1),回,2023/6/24,酒カス,6,ヤニカス,3
第,128(2),回,2023/6/24,なんとなく,4,だいたい,5
第,129(1),回,2023/7/1,おくやみ,10,おやすみ,4
第,129(2),回,2023/7/1,マイルド,11,ラッキー,7
第,130(1),回,2023/7/8,メネズ,11,ガント,3
第,130(2),回,2023/7/8,かまど屋,10,オリジン,11
第,131(1),回,2023/7/15,タレント,3,コメディアン,4
第,131(2),回,2023/7/15,しまんと,10,うずしお,7
第,132(1),回,2023/7/22,10連敗,9,11連敗,8
第,132(2),回,2023/7/22,イチロー,9,とりごえ,12
第,133(1),回,2023/7/29,パスボール,8,ワイルドピッチ,10
第,133(2),回,2023/7/29,Two-two Pitch,15,Pay-off Pitch,0
第,134,回,2023/8/5,からあげクン,13,Lチキ,5
第,135,回,2023/8/12,GAP,6,OLDNAVY,2
第,136(1),回,2023/8/19,デトマーズ,12,サンドバル,5
第,136(2),回,2023/8/19,スランプ,16,ノリノリ,4
第,137(1),回,2023/8/26,安楽亭,7,安安,8
第,137(2),回,2023/8/26,バンギラス,20,ウソッキー,7
第,138,回,2023/9/2,横川,6,北村,3
第,139(1),回,2023/9/9,石田,12,山本,7
第,139(2),回,2023/9/9,高橋由,4,高橋尚,1
第,140(1),回,2023/9/16,ARE,19,アレ,2
第,140(2),回,2023/9/16,ソレ,6,SORE,5
第,141,回,2023/9/23,ポロ,5,ララ,8
第,142,回,2023/9/30,にいがた,6,しずおか,5
第,143,回,2023/10/7,ハンバーガー,8,アンダーバー,6
第,144,回,2023/10/14,大谷,15,サブロー,12
第,144,回,2023/10/21,ろうき,22,ちはや,4
第,145,回,2023/10/21,モーガン,8,ブラッシュ,6
第,146,回,2023/10/28,村上(頌),0,山本(由),1
第,146,回,2023/10/28,スローカーブ,1,ドロップカーブ,0
第,147,回,2023/11/4,よしのぶ,1,よそのぶ,4
第,148(1),回,2023/11/11,バント,4,エンドラン,0
第,148(2),回,2023/11/11,ゴールデングラブ,0,ベストナイン,4
第,149,回,2023/11/18,いなりずし,2,おにぎり,2
第,150(1),回,2023/11/25,楽天,1,神戸,1
第,150(2),回,2023/11/25,ハヤシ,2,カレー,6
第,151,回,2023/12/2,朝青龍,1,白鳳,2
第,152,回,2023/12/9,かげぶんしん,1,ちいさくなる,4
第,153,回,2023/12/16,ビッグサイト,12,インテックス,8
第,154,回,2023/12/23,10年,0,12年,1
第,155,回,2023/12/30,ゆくとし,4,くるとし,3